DH.WW015,DH.WW016,DH.WS015,DH.WS016
68.12,169,67.45,164
72.62,157,66.07,159.5
64.56,154.5,58.27,157.5
71.83,160,72.72,162.5
64.95,162.5,72.41,163.5
60.55,169.5,74.85,164.5
66.41,152,63.51,156.5
65.53,164.5,58.02,160.5
66.96,151.5,74.94,154.5
77.12,165.5,65.92,172.5
87.11,156,87.25,157.5
82.11,166.5,60.77,169
82.23,182.5,72.26,165
67.63,156.5,75.09,171
70.83,152.5,79.24,163.5
73.21,155.5,70.02,160
102.85,164,109.1,166
65.91,175.5,62.56,169
71.42,154.5,78.18,167.5
68.86,157,62.88,156
67.63,175,76.83,160.5
70.25,158.5,65.52,156.5
79.84,175,60.46,173
81.35,176.5,81.04,155.5
66.78,167,66.96,158
70.43,158,88.45,163
68.93,158,62.77,158
67.75,161.745,73.68,161
64.79,149.5,58.01,163
108.85,157,88.65,159
99.23,157,108.94,161
66.88,164,61.3,154
74.37,157.5,64.01,167
66.05,157,60.88,168
64.55,153.5,71.49,155
65.77,154.5,60.14,167
70.89,155.5,76.84,157.5
69.48,166.5,59.28,163.5
65.34,175,108.43,158.5
65.96,159,60.94,191
65.9,162,91.36,163.5
68.9,156.5,98.84,157
69.54,159.5,71.17,160.5
69.04,152.5,58.7,156
65.1,154.5,75.31,157.5
66.14,161,64.64,170
100.08,161.5,67.07,157
68.24,152.5,64.43,166
66.22,167.5,75.14,157
64.29,155.5,65.11,155
67.29,154.5,72.73,156
70.73,167.5,63.93,160
65.5,171.5,69.38,172
70.37,151.5,63.07,160
70.22,165,64.51,158.5
66.56,158,59.2,167.5
72.69,167,72.21,162
68.12,159,60.13,161
68.77,167.5,60.11,168
86.76,167,99.44,164.5
67.27,160.5,78.47,157
66.59,163.5,60.85,160
66.62,176,64.18,157
71.19,156,65.82,157
72.07,157,65.1,160
75.22,158,65.46,161.5
71.71,176.5,63.68,160.5
63.7,151.5,67.46,156.5
70.7,176.5,67.57,178
67.14,170,70.28,168
71.91,156.5,59.72,167.5
68.53,150,76.92,165.5
65.99,170,73.01,177
67.11,156,64.02,165.5
68.54,158,65.44,156.5
68.7,163.5,57.93,159
71.69,174.5,75.25,155.5
73.19,159,57.28,155.5
63.26,164,72.47,163
71.29,175.5,61.3,165
55.86,169.5,63.44,161.5
70.74,160.5,65.23,163
75.87,166,67.3,163.5
63.94,151,58.77,158.5
61.94,157,58.88,155.5
63.38,156,60.09,155
67.16,166.5,62.03,159.5
70.78,161.5,83.73,158.5
67.87,157,76.67,168
65.63,154,77.92,157
65.25,166.5,64.43,161
68.18,155,74.85,156
64.84,156,81.83,157
61.33,162,72.19,161
65.19,159,72.39,160
69.47,163.5,61.68,164.5
65.27,167.5,57.72,158.5
60.5,164,58.85,165.5
68.52,153,72.64,157
74.1,163,62.68,162
69.33,156,67.46,156.5
69.33,155,67.14,154
64.79,153.5,72.45,156
65.39,156.5,60.92,156.5
70.13,150,58.9,155.5
64.92,167.5,56.56,158
63.71,159.5,56.38,157
64.59,156,58.89,156.5
68.75,153.5,77.17,154.5
65.31,155.5,73.21,167.5
68.9,156.5,68.34,158
68.89,163.5,72.15,173
62.55,154.5,58.03,155
75.87,154,69.94,156.5
68.9,177.5,67.54,170
94.21,170,61.89,155.5
68.9,160,61.55,161
64.62,157,72.86,155
64.37,155.5,61.29,157
69.04,166,68.32,160.5
65.41,151,58.42,159
68.15,153.5,63.96,154
59.46,173.5,68.28,157
64.93,172.5,63.6,163
69.57,151,90.92,162.5
65.78,160.5,72.52,155
62.54,175.5,72.87,160
62.62,165.5,70.85,158.5
67.39,154,67.72,161
71,151,75.36,179
77.64,176.5,68.14,163.5
65.22,169,57.68,153.5
84.05,174,65.96,167.5
62.63,168,86.39,169
100.44,170,117.27,168.5
62.43,173,75.2,168
68.99,151,68.52,155.5
79.41,166,73.49,159.5
114.51,174.5,64.96,164
60.98,162.5,59.25,161.5
60.35,160.5,73.11,159
62.17,176,71.99,166.5
63.66,159,71.43,162
63.32,167,62.8,160.5
65.63,168,64.25,155.5
63.89,155.5,74.45,154.5
65.47,158.5,72.55,168
63.99,160,68.42,162.5
64.02,157.5,61.06,159
62.81,156,65.88,158.5
63.07,161.5,58.75,153.5
63.01,156.5,73.07,159
62.32,176,58.67,176.5
65.39,158.5,65.63,158
60.39,167,73.68,158.5
73.13,177,71,180
71.61,170,98.78,168
76.69,165,71.38,169
65.21,154.5,72.25,154.5
53.95,151.5,79.74,154
61.74,176,64.4,157
67.03,156.5,62.71,157.5
63.07,158,57.13,163
70.18,175,59.66,163
60.78,177,70.28,160
63.31,152.5,58.94,151
68.99,153.5,61.92,153.5
75.23,157,78.76,157
70.98,150,76.08,161
68.59,167.5,64.62,170
66.56,157.5,78.48,164
55.9,171,66.44,173
66.87,161.745,62.26,161
61.61,174.5,69.02,167
71.15,153.5,64.79,165.5
69.05,154.5,58.94,156.5
72.42,155.5,63.64,165.5
53.69,177,55.02,160
67.49,150,60.62,154
78.26,163,60.6,156.5
80.37,158,72.63,160.5
81.97,156.5,69.75,167.5
76.69,150.5,87.89,151.5
76.92,175,64.23,158
68.95,156.5,60.12,157.5
65.07,176.5,58.66,157.5
65.04,157.5,64.02,154
63.37,159.5,57.97,159
63.03,157,70.38,158.5
64.84,153.5,59.3,155.5
67.87,150.5,66.59,150
65.43,176,62.36,170
65.83,154,58.51,153.5
70.2,151,68.71,157
70.47,161,70.09,167.5
64.96,157,58.36,159
75.07,164.5,63.39,158
65.67,153,73.51,155
65.71,162,74.67,155.5
65.39,152,75.65,161
64.12,166.5,90.49,163
66.87,152.5,73.31,160
70.49,152.5,62.85,154
63.96,163.5,62.21,168.5
64.29,168.5,57.67,157.5
60.45,163.5,74.57,168
64.26,167,72.99,160.5
68.24,156.5,64.36,157.5
64.18,161,73.28,161.5
66.04,158,63.98,166
64.32,156.5,70.86,163.5
65.12,175,62.46,156.5
92.39,174,67.44,156
66.5,153.5,64.97,156.5
66.6,173.5,57.09,159
66.14,177.5,58.25,172
65.81,155,74.72,156.5
64.55,176,72.57,171
71.4,164,58.76,154
63.02,164,63.8,158
68.99,172.5,62.16,158.5
58.82,164,77.61,159
65.48,158,59.52,156.5
58.8,175,57.93,161
60.34,169,58.73,161
64.38,155,59.5,157.5
65.28,155.5,73.65,157.5
111.65,164.5,85.35,155.5
99.22,169,84.06,172
63.99,159.5,56.54,165.5
62.6,153.5,72.57,156.5
64.2,156.5,60.69,159.5
71.73,157,58.35,168
67.76,168,62.33,160.5
72.15,160,76.67,157.5
67.9,162,64.49,178
67.32,158,58.84,163
76.48,152,96.25,153
55.29,153,65.67,155.5
70.89,157,64.38,158.5
67.34,168,60.8,160.5
96.2,154,73.5,154
66.98,156,54.38,157
66.78,157,67.98,158
91.05,158,56.46,159.5
67.16,147,68.99,155.5
70.26,165.5,74.61,155.5
69.29,161,60.77,155
78.47,171,68.75,166.5
64.2,146,71.09,161
68.35,156,79.22,154
69.96,177,64.26,161
65.93,162,62.63,158.5
66.27,161.5,53.58,166
75.43,156.5,64.48,159.5
66.74,152.5,60.9,157
71.79,156,61.69,159
70.83,152.5,94.96,155
66.73,157.5,63.62,159.5
70.88,169.5,65.48,164
70.37,166.5,65.19,160.5
70.55,177,91.3,163
